"ID";"Aktywny (0 lub 1)";"Nazwa";"Kategoria nadrzędna"
"72";"1";"Projektowanie architektoniczne";"Projektowanie"
"73";"1";"Rozwój osobisty — inne";"Rozwój osobisty"
"74";"1";"Fotografia";"Fotografia i wideo"
"75";"1";"Poczucie własnej wartości i pewność siebie";"Rozwój osobisty"
"76";"1";"Podstawy marketingu";"Marketing"
"77";"1";"Budowanie marki osobistej";"Rozwój osobisty"
"78";"1";"Rodzicielstwo i związki";"Rozwój osobisty"
"79";"1";"Projektowanie wnętrz";"Projektowanie"
"80";"1";"Fotografia i wideo — inne";"Fotografia i wideo"
"81";"1";"Nauki humanistyczne";"Nauczanie i studia"
"82";"1";"Projektowanie — inne";"Projektowanie"
"83";"1";"Matematyka";"Nauczanie i studia"
"84";"1";"Projektowanie doświadczeń użytkownika";"Projektowanie"
"85";"1";"Inżynieria oprogramowania";"Programowanie"
"86";"1";"Zarządzanie";"Biznes"
"87";"1";"Apple";"Wydajność biura"
"88";"1";"Kreatywność";"Rozwój osobisty"
"89";"1";"Zdrowie i fitness — inne";"Zdrowie i fitness"
"90";"1";"Muzyka";"Strona główna"
"91";"1";"Instrumenty";"Muzyka"
"92";"1";"Zdrowie ogólne";"Zdrowie i fitness"
"93";"1";"Branding";"Marketing"
"94";"1";"Fotografia portretowa";"Fotografia i wideo"
"95";"1";"Zasoby ludzkie";"Biznes"
"96";"1";"Nieruchomości";"Biznes"
"97";"1";"Media";"Biznes"
"98";"1";"Strategie biznesowe";"Biznes"
"99";"1";"Zapamiętywanie i metody nauki";"Rozwój osobisty"
"100";"1";"Biznes — inne";"Biznes"
"101";"1";"Nauka";"Nauczanie i studia"
"102";"1";"Szczęście";"Rozwój osobisty"
"103";"1";"Bezpieczeństwo i pierwsza pomoc";"Zdrowie i fitness"
"104";"1";"Taniec";"Zdrowie i fitness"
"105";"1";"Wywieranie wpływu";"Rozwój osobisty"
"106";"1";"Google";"Wydajność biura"
"107";"1";"Marketing — inne";"Marketing"
"108";"1";"Szkolenie dla nauczycieli";"Nauczanie i studia"
"109";"1";"Oprogramowanie muzyczne";"Muzyka"
"110";"1";"Joga";"Zdrowie i fitness"
"111";"1";"Podstawy muzyki";"Muzyka"
"112";"1";"Projektowanie gier";"Projektowanie"
"113";"1";"Medytacja";"Zdrowie i fitness"
"114";"1";"Podatki";"Finanse i księgowość"
"115";"1";"Prawo handlowe";"Biznes"
"116";"1";"Styl życia — inne";"Styl życia"
"117";"1";"Marketing produktu";"Marketing"
"118";"1";"Odżywanie";"Zdrowie i fitness"
"119";"1";"Sport";"Zdrowie i fitness"
"120";"1";"Samoobrona";"Zdrowie i fitness"
"121";"1";"Religia i duchowość";"Rozwój osobisty"
"122";"1";"Podróże";"Styl życia"
"123";"1";"Praktyki ezoteryczne";"Styl życia"
