"ID";"Aktywny (0 lub 1)";"Nazwa";"Kategoria nadrzędna";"Główna kategoria (0/1)"
"44";"1";"3D i animacja";"Projektowanie";"0"
"45";"1";"Nauczanie i studia";"0";"1"
"46";"1";"Język";"Nauczanie i studia";"0"
"47";"1";"Nauka przez internet";"Nauczanie i studia";"0"
"48";"1";"Styl życia";"0";"1"
"49";"1";"Uroda i makijaż";"Styl życia";"0"
"50";"1";"Prowadzenie firmy";"Biznes";"0"
"51";"1";"Projektowanie i tworzenie baz danych";"Programowanie";"0"
"52";"1";"Badanie danych";"Programowanie";"0"
"53";"1";"Finanse";"Finanse i księgowość";"0"
"54";"1";"Inwestycje i handel";"Finanse i księgowość";"0"
"55";"1";"Zarządzanie stresem";"Rozwój osobisty";"0"
"56";"1";"Sprzęt";"IT i oprogramowanie";"0"
"57";"1";"Przemiana osobista";"Rozwój osobisty";"0"
"58";"1";"Narzędzia projektowe";"Projektowanie";"0"
"59";"1";"Handel elektroniczny";"Biznes";"0"
"60";"1";"Operacje";"Biznes";"0"
"61";"1";"Finanse i księgowość — inne";"Finanse i księgowość";"0"
"62";"1";"Marketing mobilny i wideo";"Marketing";"0"
"63";"1";"Fotografia komercyjna";"Fotografia i wideo";"0"
"64";"1";"Kryptowaluty i Blockchain";"Finanse i księgowość";"0"
"65";"1";"Zdrowie i fitness";"0";"1"
"66";"1";"Fitness";"Zdrowie i fitness";"0"
"67";"1";"Sprzedaż";"Biznes";"0"
"68";"1";"Fotografia cyfrowa";"Fotografia i wideo";"0"
"69";"1";"Tworzenie modeli i analiz finansowych";"Finanse i księgowość";"0"
"70";"1";"Rozwój zawodowy";"Rozwój osobisty";"0"
"71";"1";"Organizacja pracy";"Rozwój osobisty";"0"
"72";"1";"Projektowanie architektoniczne";"Projektowanie";"0"
"73";"1";"Rozwój osobisty — inne";"Rozwój osobisty";"0"
"74";"1";"Fotografia";"Fotografia i wideo";"0"
"75";"1";"Poczucie własnej wartości i pewność siebie";"Rozwój osobisty";"0"
"76";"1";"Podstawy marketingu";"Marketing";"0"
"77";"1";"Budowanie marki osobistej";"Rozwój osobisty";"0"
"78";"1";"Rodzicielstwo i związki";"Rozwój osobisty";"0"
"79";"1";"Projektowanie wnętrz";"Projektowanie";"0"
"80";"1";"Fotografia i wideo — inne";"Fotografia i wideo";"0"
"81";"1";"Nauki humanistyczne";"Nauczanie i studia";"0"
"82";"1";"Projektowanie — inne";"Projektowanie";"0"
"83";"1";"Matematyka";"Nauczanie i studia";"0"
"84";"1";"Projektowanie doświadczeń użytkownika";"Projektowanie";"0"
"85";"1";"Inżynieria oprogramowania";"Programowanie";"0"
"86";"1";"Zarządzanie";"Biznes";"0"
"87";"1";"Apple";"Wydajność biura";"0"
"88";"1";"Kreatywność";"Rozwój osobisty";"0"
"89";"1";"Zdrowie i fitness — inne";"Zdrowie i fitness";"0"
"90";"1";"Muzyka";"0";"1"
"91";"1";"Instrumenty";"Muzyka";"0"
"92";"1";"Zdrowie ogólne";"Zdrowie i fitness";"0"
"93";"1";"Branding";"Marketing";"0"
"94";"1";"Fotografia portretowa";"Fotografia i wideo";"0"
"95";"1";"Zasoby ludzkie";"Biznes";"0"
"96";"1";"Nieruchomości";"Biznes";"0"
"97";"1";"Media";"Biznes";"0"
"98";"1";"Strategie biznesowe";"Biznes";"0"
"99";"1";"Zapamiętywanie i metody nauki";"Rozwój osobisty";"0"
"100";"1";"Biznes — inne";"Biznes";"0"
"101";"1";"Nauka";"Nauczanie i studia";"0"
"102";"1";"Szczęście";"Rozwój osobisty";"0"
"103";"1";"Bezpieczeństwo i pierwsza pomoc";"Zdrowie i fitness";"0"
"104";"1";"Taniec";"Zdrowie i fitness";"0"
"105";"1";"Wywieranie wpływu";"Rozwój osobisty";"0"
"106";"1";"Google";"Wydajność biura";"0"
"107";"1";"Marketing — inne";"Marketing";"0"
"108";"1";"Szkolenie dla nauczycieli";"Nauczanie i studia";"0"
"109";"1";"Oprogramowanie muzyczne";"Muzyka";"0"
"110";"1";"Joga";"Zdrowie i fitness";"0"
"111";"1";"Podstawy muzyki";"Muzyka";"0"
"112";"1";"Projektowanie gier";"Projektowanie";"0"
"113";"1";"Medytacja";"Zdrowie i fitness";"0"
"114";"1";"Podatki";"Finanse i księgowość";"0"
"115";"1";"Prawo handlowe";"Biznes";"0"
"116";"1";"Styl życia — inne";"Styl życia";"0"
"117";"1";"Marketing produktu";"Marketing";"0"
"118";"1";"Odżywanie";"Zdrowie i fitness";"0"
"119";"1";"Sport";"Zdrowie i fitness";"0"
"120";"1";"Religia i duchowość";"Rozwój osobisty";"0"
"121";"1";"Samoobrona";"Zdrowie i fitness";"0"
"122";"1";"Podróże";"Styl życia";"0"
"123";"1";"Praktyki ezoteryczne";"Styl życia";"0"
